Date,Description,Category,Amount
2023-12-06,"Transaction 1",Groceries,-27.48
2022-02-14,"Transaction 2","Coffee Shops",-15.01
2022-12-19,"Transaction 3",Daycare,-21.15
2023-11-15,"Transaction 4",Groceries,-45.10
2023-08-08,"Transaction 5",Daycare,-40.04
2023-05-07,"Transaction 6",Entertainment,-25.64
2022-05-01,"Transaction 7",Income,544.92
2023-08-11,"Transaction 8",Daycare,-48.75
2022-01-22,"Transaction 9","Coffee Shops",-18.66
2023-03-23,"Transaction 10",Income,214.21
2022-02-25,"Transaction 11",Daycare,-41.52
2022-04-27,"Transaction 12","Cable TV",-44.47
2022-09-25,"Transaction 13",Income,364.72
2023-05-04,"Transaction 14",Income,215.82
2022-05-28,"Transaction 15",Entertainment,-19.90
2022-05-13,"Transaction 16","Cable TV",-43.84
2022-01-05,"Transaction 17",Groceries,-42.63
2022-06-30,"Transaction 18","Coffee Shops",-32.72
2023-08-21,"Transaction 19","Cable TV",-13.82
2022-11-05,"Transaction 20","Dental Care",-39.12
2024-02-16,"Transaction 21",Groceries,-33.41
2022-03-17,"Transaction 22",Daycare,-36.70
2023-09-12,"Transaction 23","Coffee Shops",-15.52
2023-01-19,"Transaction 24","Coffee Shops",-32.07
2023-08-02,"Transaction 25",Daycare,-41.50
2023-03-10,"Transaction 26","Dental Care",-37.29
2022-09-10,"Transaction 27",Daycare,-20.94
2023-06-05,"Transaction 28",Entertainment,-33.94
2023-04-26,"Transaction 29",Entertainment,-10.61
2023-04-15,"Transaction 30",Income,985.31
2022-02-22,"Transaction 31",Income,490.85
2023-04-20,"Transaction 32",Income,909.72
2024-01-18,"Transaction 33",Groceries,-23.73
2022-09-21,"Transaction 34",Entertainment,-34.18
2022-12-01,"Transaction 35","Cable TV",-21.71
2022-07-28,"Transaction 36","Auto Loan",-35.86
2022-03-12,"Transaction 37",Daycare,-21.16
2023-12-30,"Transaction 38","Dental Care",-37.24
2022-07-11,"Transaction 39","Dental Care",-13.65
2023-11-19,"Transaction 40","Auto Loan",-37.70
2023-04-27,"Transaction 41","Coffee Shops",-25.60
2023-10-23,"Transaction 42","Dental Care",-19.32
2022-12-28,"Transaction 43","Coffee Shops",-31.97
2022-10-25,"Transaction 44",Groceries,-37.15
2022-11-22,"Transaction 45","Coffee Shops",-20.30
2023-06-22,"Transaction 46",Groceries,-25.63
2022-10-01,"Transaction 47","Cable TV",-43.82
2023-01-05,"Transaction 48",Groceries,-10.05
2022-06-12,"Transaction 49","Coffee Shops",-18.66
2022-06-13,"Transaction 50","Dental Care",-28.93
2023-08-29,"Transaction 51",Income,263.66
2022-04-22,"Transaction 52","Coffee Shops",-40.44
2023-04-20,"Transaction 53",Daycare,-26.17
2022-09-20,"Transaction 54","Cable TV",-48.67
2022-04-04,"Transaction 55","Coffee Shops",-23.22
2023-11-13,"Transaction 56",Groceries,-15.35
2022-07-20,"Transaction 57","Auto Loan",-35.75
2022-09-23,"Transaction 58",Income,643.31
2022-12-28,"Transaction 59",Groceries,-34.36
2022-02-18,"Transaction 60",Groceries,-49.33
2023-10-30,"Transaction 61",Groceries,-17.92
2023-12-24,"Transaction 62",Income,291.35
2023-08-04,"Transaction 63",Income,532.68
2023-07-16,"Transaction 64",Daycare,-20.70
2023-11-15,"Transaction 65",Groceries,-32.40
2023-09-03,"Transaction 66",Income,527.96
2022-01-02,"Transaction 67",Entertainment,-33.19
2023-04-17,"Transaction 68",Daycare,-24.15
2022-07-05,"Transaction 69",Groceries,-17.87
2022-08-27,"Transaction 70",Daycare,-43.70
2023-07-25,"Transaction 71",Daycare,-39.23
2023-06-10,"Transaction 72",Daycare,-45.58
2023-12-07,"Transaction 73",Income,561.94
2023-06-28,"Transaction 74",Daycare,-14.59
2022-11-15,"Transaction 75","Coffee Shops",-17.41
2023-08-29,"Transaction 76",Income,564.98
2022-08-09,"Transaction 77","Dental Care",-14.66
2022-05-20,"Transaction 78",Daycare,-49.85
2023-03-20,"Transaction 79",Groceries,-25.91
2023-07-21,"Transaction 80",Income,741.85
2023-09-25,"Transaction 81","Coffee Shops",-31.75
